|==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      8       |   0.000000   |  696.032137  |  110.776955  |  110.776955  |  -0.000000   |   0.009027   |
|      9       |   0.000000   |  696.033159  |  110.777118  |  110.777118  |  -0.000000   |   0.009027   |
|      10      |   0.000000   | 1018.902278  |  162.163334  |  162.163334  |  -0.000000   |   0.006167   |
|      11      |   0.000000   | 1018.909076  |  162.164416  |  162.164416  |  -0.000000   |   0.006167   |
|      12      |   0.000000   | 1098.450398  |  174.823811  |  174.823811  |  -0.000000   |   0.005720   |
|      13      |   0.000000   | 1098.454369  |  174.824443  |  174.824443  |  -0.000000   |   0.005720   |
|      14      |   0.000000   | 1839.020456  |  292.689196  |  292.689196  |  -0.000000   |   0.003417   |
|      15      |   0.000000   | 1839.028389  |  292.690459  |  292.690459  |  -0.000000   |   0.003417   |
|      16      |   0.000000   | 1908.678676  |  303.775646  |  303.775646  |  -0.000000   |   0.003292   |
|      17      |   0.000000   | 1908.683557  |  303.776423  |  303.776423  |  -0.000000   |   0.003292   |
|      18      |   0.000000   | 2728.990533  |  434.332333  |  434.332333  |  -0.000000   |   0.002302   |
|      19      |   0.000000   | 2728.991343  |  434.332462  |  434.332462  |  -0.000000   |   0.002302   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  29.991471   |   4.773291   |   4.773291   |  -0.000000   |   0.209499   |
|      1       |   0.000000   |  29.991490   |   4.773294   |   4.773294   |  -0.000000   |   0.209499   |
|      2       |   0.000000   |  189.417081  |  30.146665   |  30.146665   |  -0.000000   |   0.033171   |
|      3       |   0.000000   |  189.417087  |  30.146666   |  30.146666   |  -0.000000   |   0.033171   |
|      4       |   0.000000   |  263.274927  |  41.901506   |  41.901506   |  -0.000000   |   0.023865   |
|      5       |   0.000000   |  263.275205  |  41.901550   |  41.901550   |  -0.000000   |   0.023865   |
|      6       |   0.000000   |  537.690556  |  85.576110   |  85.576110   |  -0.000000   |   0.011686   |
|      7       |   0.000000   |  537.691053  |  85.576189   |  85.576189   |  -0.000000   |   0.011685   |
|      8       |   0.000000   |  696.023518  |  110.775583  |  110.775583  |  -0.000000   |   0.009027   |
|      9       |   0.000000   |  696.024606  |  110.775757  |  110.775757  |  -0.000000   |   0.009027   |
|      10      |   0.000000   | 1018.912868  |  162.165020  |  162.165020  |  -0.000000   |   0.006167   |
|      11      |   0.000000   | 1018.919575  |  162.166087  |  162.166087  |  -0.000000   |   0.006167   |
|      12      |   0.000000   | 1098.448875  |  174.823568  |  174.823568  |  -0.000000   |   0.005720   |
|      13      |   0.000000   | 1098.455271  |  174.824586  |  174.824586  |  -0.000000   |   0.005720   |
|      14      |   0.000000   | 1839.026099  |  292.690094  |  292.690094  |  -0.000000   |   0.003417   |
|      15      |   0.000000   | 1839.033425  |  292.691260  |  292.691260  |  -0.000000   |   0.003417   |
|      16      |   0.000000   | 1908.676804  |  303.775348  |  303.775348  |  -0.000000   |   0.003292   |
|      17      |   0.000000   | 1908.683959  |  303.776487  |  303.776487  |  -0.000000   |   0.003292   |
|      18      |   0.000000   | 2728.989500  |  434.332169  |  434.332169  |  -0.000000   |   0.002302   |
|      19      |   0.000000   | 2728.992326  |  434.332618  |  434.332618  |  -0.000000   |   0.002302   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  29.991489   |   4.773294   |   4.773294   |  -0.000000   |   0.209499   |
|      1       |   0.000000   |  29.991492   |   4.773294   |   4.773294   |  -0.000000   |   0.209499   |
|      2       |   0.000000   |  189.417429  |  30.146720   |  30.146720   |  -0.000000   |   0.033171   |
|      3       |   0.000000   |  189.417568  |  30.146742   |  30.146742   |  -0.000000   |   0.033171   |
|      4       |   0.000000   |  263.274418  |  41.901425   |  41.901425   |  -0.000000   |   0.023866   |
|      5       |   0.000000   |  263.274596  |  41.901453   |  41.901453   |  -0.000000   |   0.023866   |
|      6       |   0.000000   |  537.690448  |  85.576093   |  85.576093   |  -0.000000   |   0.011686   |
|      7       |   0.000000   |  537.691623  |  85.576280   |  85.576280   |  -0.000000   |   0.011685   |
|      8       |   0.000000   |  696.032137  |  110.776955  |  110.776955  |  -0.000000   |   0.009027   |
|      9       |   0.000000   |  696.033159  |  110.777118  |  110.777118  |  -0.000000   |   0.009027   |
|      10      |   0.000000   | 1018.902278  |  162.163334  |  162.163334  |  -0.000000   |   0.006167   |
|      11      |   0.000000   | 1018.909076  |  162.164416  |  162.164416  |  -0.000000   |   0.006167   |
|      12      |   0.000000   | 1098.450398  |  174.823811  |  174.823811  |  -0.000000   |   0.005720   |
|      13      |   0.000000   | 1098.454369  |  174.824443  |  174.824443  |  -0.000000   |   0.005720   |
|      14      |   0.000000   | 1839.020456  |  292.689196  |  292.689196  |  -0.000000   |   0.003417   |
|      15      |   0.000000   | 1839.028389  |  292.690459  |  292.690459  |  -0.000000   |   0.003417   |
|      16      |   0.000000   | 1908.678676  |  303.775646  |  303.775646  |  -0.000000   |   0.003292   |
|      17      |   0.000000   | 1908.683557  |  303.776423  |  303.776423  |  -0.000000   |   0.003292   |
|      18      |   0.000000   | 2728.990533  |  434.332333  |  434.332333  |  -0.000000   |   0.002302   |
|      19      |   0.000000   | 2728.991343  |  434.332462  |  434.332462  |  -0.000000   |   0.002302   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  29.991489   |   4.773294   |   4.773294   |  -0.000000   |   0.209499   |
|      1       |   0.000000   |  29.991492   |   4.773294   |   4.773294   |  -0.000000   |   0.209499   |
|      2       |   0.000000   |  189.417429  |  30.146720   |  30.146720   |  -0.000000   |   0.033171   |
|      3       |   0.000000   |  189.417568  |  30.146742   |  30.146742   |  -0.000000   |   0.033171   |
|      4       |   0.000000   |  263.274418  |  41.901425   |  41.901425   |  -0.000000   |   0.023866   |
|      5       |   0.000000   |  263.274596  |  41.901453   |  41.901453   |  -0.000000   |   0.023866   |
|      6       |   0.000000   |  537.690448  |  85.576093   |  85.576093   |  -0.000000   |   0.011686   |
|      7       |   0.000000   |  537.691623  |  85.576280   |  85.576280   |  -0.000000   |   0.011685   |
|      8       |   0.000000   |  696.032137  |  110.776955  |  110.776955  |  -0.000000   |   0.009027   |
|      9       |   0.000000   |  696.033159  |  110.777118  |  110.777118  |  -0.000000   |   0.009027   |
|      10      |   0.000000   | 1018.902278  |  162.163334  |  162.163334  |  -0.000000   |   0.006167   |
|      11      |   0.000000   | 1018.909076  |  162.164416  |  162.164416  |  -0.000000   |   0.006167   |
|      12      |   0.000000   | 1098.450398  |  174.823811  |  174.823811  |  -0.000000   |   0.005720   |
|      13      |   0.000000   | 1098.454369  |  174.824443  |  174.824443  |  -0.000000   |   0.005720   |
|      14      |   0.000000   | 1839.020456  |  292.689196  |  292.689196  |  -0.000000   |   0.003417   |
|      15      |   0.000000   | 1839.028389  |  292.690459  |  292.690459  |  -0.000000   |   0.003417   |
|      16      |   0.000000   | 1908.678676  |  303.775646  |  303.775646  |  -0.000000   |   0.003292   |
|      17      |   0.000000   | 1908.683557  |  303.776423  |  303.776423  |  -0.000000   |   0.003292   |
|      18      |   0.000000   | 2728.990533  |  434.332333  |  434.332333  |  -0.000000   |   0.002302   |
|      19      |   0.000000   | 2728.991343  |  434.332462  |  434.332462  |  -0.000000   |   0.002302   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  29.991471   |   4.773291   |   4.773291   |  -0.000000   |   0.209499   |
|      1       |   0.000000   |  29.991490   |   4.773294   |   4.773294   |  -0.000000   |   0.209499   |
|      2       |   0.000000   |  189.417081  |  30.146665   |  30.146665   |  -0.000000   |   0.033171   |
|      3       |   0.000000   |  189.417087  |  30.146666   |  30.146666   |  -0.000000   |   0.033171   |
|      4       |   0.000000   |  263.274927  |  41.901506   |  41.901506   |  -0.000000   |   0.023865   |
|      5       |   0.000000   |  263.275205  |  41.901550   |  41.901550   |  -0.000000   |   0.023865   |
|      6       |   0.000000   |  537.690556  |  85.576110   |  85.576110   |  -0.000000   |   0.011686   |
|      7       |   0.000000   |  537.691053  |  85.576189   |  85.576189   |  -0.000000   |   0.011685   |
|      8       |   0.000000   |  696.023518  |  110.775583  |  110.775583  |  -0.000000   |   0.009027   |
|      9       |   0.000000   |  696.024606  |  110.775757  |  110.775757  |  -0.000000   |   0.009027   |
|      10      |   0.000000   | 1018.912868  |  162.165020  |  162.165020  |  -0.000000   |   0.006167   |
|      11      |   0.000000   | 1018.919575  |  162.166087  |  162.166087  |  -0.000000   |   0.006167   |
|      12      |   0.000000   | 1098.448875  |  174.823568  |  174.823568  |  -0.000000   |   0.005720   |
|      13      |   0.000000   | 1098.455271  |  174.824586  |  174.824586  |  -0.000000   |   0.005720   |
|      14      |   0.000000   | 1839.026099  |  292.690094  |  292.690094  |  -0.000000   |   0.003417   |
|      15      |   0.000000   | 1839.033425  |  292.691260  |  292.691260  |  -0.000000   |   0.003417   |
|      16      |   0.000000   | 1908.676804  |  303.775348  |  303.775348  |  -0.000000   |   0.003292   |
|      17      |   0.000000   | 1908.683959  |  303.776487  |  303.776487  |  -0.000000   |   0.003292   |
|      18      |   0.000000   | 2728.989500  |  434.332169  |  434.332169  |  -0.000000   |   0.002302   |
|      19      |   0.000000   | 2728.992326  |  434.332618  |  434.332618  |  -0.000000   |   0.002302   |
|==============|==============|==============|==============|==============|==============|==============||==============|==============|==============|==============|==============|==============|==============|
|     mode     |  eval_real   |  eval_imag   | freq_n (Hz)  | freq_d (Hz)  |   damping    |  period (s)  |
|==============|==============|==============|==============|==============|==============|==============|
|      0       |   0.000000   |  29.991471   |   4.773291   |   4.773291   |  -0.000000   |   0.209499   |
|      1       |   0.000000   |  29.991490   |   4.773294   |   4.773294   |  -0.000000   |   0.209499   |
|      2       |   0.000000   |  189.417081  |  30.146665   |  30.146665   |  -0.000000   |   0.033171   |
|      3       |   0.000000   |  189.417087  |  30.146666   |  30.146666   |  -0.000000   |   0.033171   |
|      4       |   0.000000   |  263.274927  |  41.901506   |  41.901506   |  -0.000000   |   0.023865   |
|      5       |   0.000000   |  263.275205  |  41.901550   |  41.901550   |  -0.000000   |   0.023865   |
|      6       |   0.000000   |  537.690556  |  85.576110   |  85.576110   |  -0.000000   |   0.011686   |
|      7       |   0.000000   |  537.691053  |  85.576189   |  85.576189   |  -0.000000   |   0.011685   |
|      8       |   0.000000   |  696.023518  |  110.775583  |  110.775583  |  -0.000000   |   0.009027   |
